Date,Open,High,Low,Close,Adj Close,Volume
2008-02-13,508.000000,515.750000,502.049988,510.399994,458.571442,352454
2008-02-14,519.000000,544.849976,516.000000,537.599976,483.009430,144848
2008-02-15,537.599976,545.000000,523.099976,543.799988,488.579865,92598
2008-02-18,554.000000,554.000000,533.000000,536.599976,482.110962,52911
2008-02-19,541.200012,546.000000,526.099976,530.250000,476.405792,137944
2008-02-20,504.600006,540.450012,424.250000,535.599976,481.212524,80316
2008-02-21,545.000000,545.000000,531.000000,539.049988,484.312134,183049
2008-02-22,504.600006,543.000000,504.600006,540.000000,485.165741,124781
2008-02-25,547.000000,547.000000,530.099976,540.599976,485.704712,253275
2008-02-26,545.000000,560.000000,541.000000,549.900024,494.060364,168723
2008-02-27,556.000000,562.750000,539.000000,541.700012,486.693176,150567
2008-02-28,541.700012,583.950012,541.000000,572.349976,514.230835,296921
2008-02-29,500.049988,586.950012,500.049988,583.700012,524.428223,324322
2008-03-03,572.650024,593.450012,554.000000,571.500000,513.466980,401289
2008-03-04,576.000000,579.000000,540.950012,558.299988,501.607452,156945
2008-03-05,562.150024,588.099976,559.000000,583.599976,524.338379,251258
2008-03-07,575.000000,581.000000,552.000000,569.450012,511.625336,341161
2008-03-10,561.000000,579.799988,476.649994,575.900024,517.420288,194852
2008-03-11,573.950012,573.950012,555.000000,560.049988,503.179535,372344
2008-03-12,570.000000,582.000000,550.000000,554.900024,498.552704,481476
2008-03-13,550.049988,559.000000,534.000000,540.099976,485.255524,297410
2008-03-14,540.200012,551.000000,520.549988,539.950012,485.120789,385441
2008-03-17,526.000000,549.000000,522.000000,534.750000,480.448761,328877
2008-03-18,525.000000,554.900024,523.299988,545.250000,489.882599,308313
2008-03-19,550.000000,554.799988,535.000000,540.950012,486.019257,261685
2008-03-24,545.000000,568.000000,535.000000,563.900024,506.638855,365108
2008-03-25,575.000000,585.000000,565.299988,576.950012,518.363586,284408
2008-03-26,578.799988,579.900024,560.049988,575.299988,516.881165,358418
2008-03-27,574.000000,604.950012,566.000000,583.150024,523.934143,771816
2008-03-28,586.000000,598.950012,574.000000,592.599976,532.424377,515430
2008-03-31,571.000000,600.000000,565.000000,591.250000,531.211426,169537
2008-04-01,595.000000,605.849976,582.299988,592.799988,532.604004,229964
2008-04-02,609.000000,628.000000,597.000000,602.049988,540.914917,301801
2008-04-03,601.000000,635.000000,560.349976,617.150024,554.481506,408160
2008-04-04,611.000000,625.000000,590.000000,598.400024,537.635437,238710
2008-04-07,596.000000,616.000000,596.000000,604.599976,543.205811,171185
2008-04-08,603.000000,613.000000,584.000000,592.599976,532.424377,159990
2008-04-09,589.000000,592.000000,572.099976,585.150024,525.731018,302338
2008-04-10,578.250000,587.400024,575.099976,577.849976,519.172241,113428
2008-04-11,589.500000,595.000000,583.200012,591.049988,531.031799,174985
2008-04-15,587.000000,621.299988,581.000000,615.349976,552.864319,336523
2008-04-16,616.500000,624.900024,597.299988,602.000000,540.869995,324801
2008-04-17,610.000000,614.000000,592.250000,606.599976,545.002747,208212
2008-04-21,610.000000,621.900024,610.000000,611.849976,549.719666,93482
2008-04-22,605.000000,620.000000,605.000000,613.049988,550.797852,76560
2008-04-23,617.000000,621.900024,607.000000,617.450012,554.750854,181061
2008-04-24,621.000000,628.000000,608.000000,613.349976,551.067322,211463
2008-04-25,607.000000,621.000000,607.000000,616.549988,553.942566,125550
2008-04-28,619.000000,628.500000,613.250000,625.200012,561.714111,229764
2008-04-29,627.000000,643.750000,622.150024,627.049988,563.376282,398060
2008-04-30,634.099976,638.000000,618.000000,623.000000,559.737427,213747
2008-05-02,630.000000,639.450012,628.000000,636.150024,571.552185,241814
2008-05-05,638.000000,645.000000,629.750000,638.950012,574.067871,134804
2008-05-06,638.950012,652.700012,636.049988,647.849976,582.063965,168615
2008-05-07,642.000000,650.000000,636.150024,646.500000,580.851074,61925
2008-05-08,637.150024,664.000000,635.049988,661.549988,594.372925,228316
2008-05-09,650.000000,653.750000,627.000000,629.450012,565.532532,213220
2008-05-12,621.000000,638.000000,613.000000,631.900024,567.733765,235379
2008-05-13,640.000000,640.000000,622.000000,624.400024,560.995239,130620
2008-05-14,613.049988,680.000000,613.049988,674.750000,606.232483,776832
2008-05-15,680.200012,685.000000,648.099976,654.599976,588.128540,540647
2008-05-16,655.000000,666.000000,646.000000,651.299988,585.163696,252389
2008-05-20,650.000000,656.700012,633.000000,639.200012,574.292542,457462
2008-05-21,631.000000,665.799988,625.549988,658.200012,591.363220,444219
2008-05-22,652.000000,694.799988,643.000000,681.549988,612.341919,798210
2008-05-23,684.700012,698.000000,670.250000,686.750000,617.013916,633853
2008-05-26,685.000000,708.000000,672.150024,689.750000,619.709290,507110
2008-05-27,695.000000,698.799988,684.000000,694.900024,624.336304,276800
2008-05-28,695.000000,695.049988,672.349976,682.349976,613.060669,406743
2008-05-29,696.000000,704.299988,670.000000,676.400024,607.714905,460631
2008-05-30,677.099976,720.000000,675.000000,714.150024,641.631592,898603
2008-06-02,720.000000,728.000000,701.000000,720.200012,647.067261,824734
2008-06-03,712.500000,717.950012,685.000000,694.950012,624.381470,544136
2008-06-04,688.000000,710.400024,660.000000,668.599976,600.706970,332058
2008-06-05,669.000000,709.950012,669.000000,700.799988,629.637207,555219
2008-06-06,710.000000,710.000000,690.000000,696.250000,625.549377,408408
2008-06-09,667.000000,714.400024,667.000000,692.650024,622.315002,786056
2008-06-10,695.000000,711.000000,692.000000,697.900024,627.031799,786145
2008-06-11,700.000000,724.900024,688.000000,709.400024,637.364014,623040
2008-06-12,707.000000,714.000000,692.650024,703.200012,631.793518,722893
2008-06-13,699.000000,732.900024,695.549988,727.799988,653.895569,1478703
2008-06-16,739.900024,739.900024,707.349976,715.200012,642.575073,396971
2008-06-17,715.049988,723.000000,705.000000,708.599976,636.645203,363556
2008-06-18,709.049988,715.000000,685.000000,689.400024,619.394958,236910
2008-06-19,697.000000,698.000000,672.500000,681.200012,612.027588,623747
2008-06-20,681.000000,684.049988,650.200012,655.049988,588.532898,386479
2008-06-23,653.000000,659.900024,632.099976,647.549988,581.794617,269822
2008-06-24,648.000000,679.900024,648.000000,659.599976,592.620850,205119
2008-06-25,640.000000,664.900024,640.000000,655.849976,589.251648,210147
2008-06-26,664.000000,679.799988,643.200012,656.799988,590.105225,385830
2008-06-27,645.000000,672.000000,637.000000,657.250000,590.509521,401757
2008-06-30,660.250000,674.000000,645.200012,669.799988,601.785156,344969
2008-07-01,667.000000,688.799988,652.349976,660.250000,593.204895,266014
2008-07-02,638.549988,670.000000,638.549988,659.799988,592.800537,425537
