Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,100.509003,104.155998,100.509003,101.811996,42.730896,9300277
2008-01-02,101.811996,102.918999,98.812500,99.731201,41.857574,8128981
2008-01-03,99.750000,103.106003,97.875000,101.005997,42.392620,16513936
2008-01-04,100.688004,103.125000,100.500000,101.005997,42.392620,9282352
2008-01-07,95.812500,100.303001,95.812500,97.753098,41.027363,9202149
2008-01-08,98.250000,100.311996,96.562500,98.428101,41.310665,12364101
2008-01-09,98.437500,99.178101,95.634399,97.500000,40.921143,6797952
2008-01-10,94.781197,98.062500,90.815598,91.500000,38.402912,12567675
2008-01-11,92.250000,95.568703,90.037498,94.893799,39.827309,11788347
2008-01-14,95.250000,96.543701,93.740601,95.400002,40.039761,4690283
2008-01-15,95.071899,96.599998,91.921898,92.521896,38.831806,5568384
2008-01-16,91.312500,94.500000,90.187500,92.456299,38.804276,7622368
2008-01-17,93.375000,95.231201,91.134399,93.253098,39.138695,4718517
2008-01-18,93.712502,93.712502,88.331299,89.343803,37.497948,7842357
2008-01-21,88.312500,90.000000,74.625000,78.974998,33.146118,12887211
2008-01-22,76.875000,80.625000,63.196899,76.340599,32.040451,10403776
2008-01-23,76.312500,84.750000,73.687500,83.512497,35.050526,8965493
2008-01-24,84.375000,85.312500,73.518799,76.125000,31.949970,14457211
2008-01-25,80.250000,83.118797,78.028099,79.349998,33.303505,13183040
2008-01-28,78.000000,84.918701,75.187500,82.753098,34.731804,8191248
2008-01-29,84.375000,85.312500,80.062500,82.068703,34.444553,5288784
2008-01-30,79.921898,82.490601,78.937500,79.659401,33.433369,4468651
2008-01-31,76.181297,81.000000,73.368797,76.378098,32.056190,11745819
2008-02-01,80.062500,80.568703,74.437500,78.750000,33.051685,4857840
2008-02-04,79.687500,81.562500,79.687500,80.446899,33.763885,5286677
2008-02-05,80.512497,80.512497,78.937500,79.218803,33.248444,5428544
2008-02-06,77.062500,82.462502,75.581299,81.900002,34.373756,8054757
2008-02-07,82.312500,83.250000,78.750000,79.612503,33.413677,8449344
2008-02-08,79.500000,81.000000,76.340599,79.743797,33.468788,6385611
2008-02-11,79.687500,79.687500,70.565598,72.300003,30.344595,10770640
2008-02-12,71.437500,75.759399,71.250000,73.209396,30.726273,6495776
2008-02-13,74.175003,75.928101,73.125000,74.775002,31.383364,4020971
2008-02-14,76.500000,77.531197,76.125000,77.053101,32.339493,7277499
2008-02-15,67.500000,80.812500,67.500000,80.268799,33.689133,8286475
2008-02-18,80.625000,83.156197,80.259399,81.346901,34.141613,6177541
2008-02-19,82.125000,82.565598,78.206299,79.143799,33.216961,8268619
2008-02-20,79.312500,79.312500,76.875000,77.803101,32.654270,9138069
2008-02-21,79.125000,79.303101,74.812500,75.281197,31.595818,11207520
2008-02-22,74.943703,74.943703,72.384399,72.993797,30.635786,17445408
2008-02-25,74.250000,76.668701,73.050003,76.265602,32.008976,8454448
2008-02-26,77.250000,78.206299,75.599998,77.756203,32.634579,4916443
2008-02-27,77.831299,80.156197,77.831299,78.928101,33.126438,5462245
2008-02-28,78.140602,81.018799,77.259399,80.165604,33.645821,8873675
2008-02-29,79.218803,80.231201,75.937500,79.387497,33.319237,4784699
2008-03-03,78.562500,78.562500,75.000000,75.675003,31.761103,6306395
2008-03-04,75.562500,76.687500,73.800003,74.896896,31.434525,5820101
2008-03-05,74.268799,76.125000,74.268799,75.759399,31.796518,3911856
2008-03-07,75.759399,75.759399,70.406197,73.893799,31.013519,6623173
2008-03-10,73.218803,74.062500,70.500000,73.631203,30.903311,6815515
2008-03-11,74.756203,81.937500,73.312500,78.937500,33.130379,15091173
2008-03-12,80.062500,81.187500,77.578102,78.074997,32.768383,5551557
2008-03-13,74.099998,77.812500,74.099998,76.809402,32.237213,7397392
2008-03-14,76.312500,79.687500,75.356201,79.059402,33.181545,3609947
2008-03-17,77.081299,78.000000,75.337502,76.162498,31.965700,4399179
2008-03-18,75.787498,77.793701,75.750000,76.771896,32.221470,6253760
2008-03-19,78.290604,79.199997,77.343803,78.168701,32.807713,8974405
2008-03-24,77.821899,79.875000,76.856201,78.234398,32.835281,7514005
2008-03-25,78.656197,82.031197,78.656197,81.234398,34.094395,6615291
2008-03-26,82.125000,84.093803,79.040604,79.912498,33.539589,6752336
2008-03-27,78.862503,81.337502,77.812500,79.012497,33.161858,8427600
2008-03-28,78.750000,83.250000,78.290604,82.790604,34.747547,7589077
2008-03-31,83.250000,83.437500,78.750000,79.771896,33.480583,6668752
2008-04-01,80.062500,81.562500,78.412498,79.106201,33.201187,3826773
2008-04-02,81.000000,82.500000,79.706299,81.431297,34.177032,3696720
2008-04-03,82.125000,82.481201,80.456299,81.215599,34.086510,6714944
2008-04-04,79.706299,82.125000,79.696899,79.903099,33.535641,3939429
2008-04-07,79.687500,82.125000,79.650002,80.259399,33.685188,6342987
2008-04-08,80.259399,81.900002,78.937500,80.625000,33.838634,6805195
2008-04-09,80.062500,81.543701,79.387497,80.690598,33.866165,4070133
2008-04-10,79.893799,81.703102,79.490601,79.875000,33.523857,3038597
2008-04-11,80.306297,83.981201,80.259399,83.015602,34.841984,6658549
2008-04-15,83.437500,84.843803,82.931297,83.962502,35.239395,9364299
2008-04-16,84.937500,86.381203,84.074997,85.331299,35.813885,6637552
2008-04-17,86.437500,86.615601,82.875000,83.596901,35.085957,4895365
2008-04-21,83.812500,84.375000,80.625000,81.290604,34.117992,6837984
2008-04-22,81.187500,83.418701,80.625000,82.678101,34.700329,4510181
2008-04-23,83.437500,83.718803,82.500000,82.996902,34.834129,2536000
2008-04-24,83.437500,84.318703,82.687500,83.221901,34.928562,2888944
2008-04-25,83.962502,85.293701,82.574997,83.484398,35.038731,2990075
