Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,269.250000,269.250000,263.000000,263.638000,171.620880,928388
2008-01-02,265.000000,265.250000,257.875000,262.500000,170.880066,2864924
2008-01-03,257.524994,261.250000,251.337006,252.761993,164.540909,5168280
2008-01-04,252.761993,255.725006,250.574997,251.300003,163.589203,2318868
2008-01-07,250.000000,252.199997,243.125000,243.899994,158.771973,3647344
2008-01-08,245.000000,248.000000,242.324997,246.962006,160.765274,3207732
2008-01-09,248.699997,251.500000,247.475006,249.074997,162.140793,2450128
2008-01-10,249.500000,252.375000,240.500000,245.412994,159.756897,3342376
2008-01-11,228.837006,251.000000,228.837006,247.438004,161.075211,2149188
2008-01-14,249.949997,249.949997,238.899994,240.287994,156.420700,4158864
2008-01-15,241.250000,242.000000,233.500000,235.000000,152.978363,2935588
2008-01-16,235.000000,241.675003,231.250000,236.238007,153.784271,3131956
2008-01-17,241.449997,241.500000,229.750000,230.675003,150.162857,6302096
2008-01-18,232.375000,235.000000,224.274994,225.800003,146.989456,4333816
2008-01-21,226.000000,226.175003,201.311996,207.761993,135.247177,4840032
2008-01-22,203.675003,247.500000,181.250000,200.061996,130.234695,6376872
2008-01-23,214.750000,222.500000,201.250000,217.988007,144.064331,5359120
2008-01-24,217.500000,222.000000,206.438004,210.811996,139.321808,2013336
2008-01-25,213.250000,224.425003,212.524994,221.149994,146.154022,2243116
2008-01-28,217.500000,217.500000,206.250000,213.574997,141.147812,2485660
2008-01-29,214.000000,221.149994,213.750000,216.925003,143.361801,3258712
2008-01-30,220.500000,223.000000,215.000000,217.462006,143.716736,3032856
2008-01-31,217.500000,222.500000,208.837006,218.438004,144.361710,5966956
2008-02-01,221.250000,235.274994,218.324997,232.375000,153.572433,4169520
2008-02-04,236.250000,247.250000,234.750000,243.912994,161.197723,3730520
2008-02-05,240.000000,243.750000,233.912994,238.761993,157.793457,1722872
2008-02-06,232.500000,232.500000,223.625000,226.524994,149.706253,4007952
2008-02-07,226.524994,226.524994,217.761993,219.761993,145.236694,2574652
2008-02-08,221.000000,231.250000,220.000000,224.600006,148.434067,2576820
2008-02-11,224.600006,233.000000,215.024994,226.524994,149.706253,3200988
2008-02-12,226.250000,231.250000,215.000000,216.162994,142.858200,5161328
2008-02-13,218.750000,224.250000,212.824997,217.238007,143.568695,2185376
2008-02-14,221.250000,225.000000,215.250000,218.449997,144.369675,2246480
2008-02-15,215.000000,221.761993,215.000000,218.175003,144.187866,2213044
2008-02-18,218.175003,218.750000,212.500000,213.300003,140.966125,1723160
2008-02-19,214.000000,221.000000,213.750000,218.863007,144.642609,1947288
2008-02-20,219.975006,223.662994,218.311996,221.524994,146.401855,3060624
2008-02-21,224.500000,232.750000,220.500000,228.662994,151.119232,3562052
2008-02-22,230.000000,230.225006,221.250000,225.136993,148.788986,2401516
2008-02-25,232.000000,232.250000,222.561996,225.188004,148.822708,3255460
2008-02-26,231.000000,231.000000,223.750000,224.600006,148.434067,4999584
2008-02-27,227.000000,228.712006,218.511993,219.386993,144.988876,2364056
2008-02-28,221.250000,222.500000,218.000000,220.225006,145.542709,5579004
2008-02-29,220.000000,222.925003,215.875000,219.350006,144.964462,3416480
2008-03-03,216.500000,217.175003,210.000000,212.149994,140.206070,3141328
2008-03-04,214.500000,217.500000,211.774994,214.699997,141.891342,3010532
2008-03-05,211.250000,220.699997,211.250000,218.824997,144.617447,2209348
2008-03-07,215.649994,216.524994,210.561996,211.537994,139.801620,1996828
2008-03-10,211.537994,213.500000,207.500000,208.412994,137.736374,2494168
2008-03-11,210.000000,210.000000,205.000000,205.875000,136.059082,4043520
2008-03-12,209.750000,212.500000,202.561996,205.886993,136.067017,1884412
2008-03-13,203.750000,203.750000,190.250000,194.925003,128.822418,3408600
2008-03-14,195.000000,203.225006,187.500000,200.962006,132.812134,2216056
